th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.538500 	     0.384608 	  -6.71525627 
    1.538500 	     0.512820 	  -6.71509936 
    1.538500 	     0.769250 	  -6.71483588 
    1.538500 	     1.025680 	   -6.7146211 
    1.538500 	     1.230818 	  -6.71451438 
    1.538500 	     1.435943 	  -6.71450157 
    1.538500 	     1.538500 	  -6.71453731 
    1.538500 	     1.641052 	  -6.71440258 
    1.538500 	     1.794869 	  -6.71426011 
    1.538500 	     1.846138 	  -6.71422652 
    1.538500 	     1.923038 	  -6.71418583 
    1.538500 	     2.307473 	  -6.71406792 
