th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.538500 	     0.384608 	  -6.71472774 
    1.538500 	     0.512820 	  -6.71454562 
    1.538500 	     0.769250 	  -6.71429478 
    1.538500 	     1.025680 	  -6.71409896 
    1.538500 	     1.230818 	  -6.71401596 
    1.538500 	     1.435943 	  -6.71400717 
    1.538500 	     1.538500 	  -6.71403442 
    1.538500 	     1.641052 	   -6.7139381 
    1.538500 	     1.794869 	  -6.71384096 
    1.538500 	     1.846138 	  -6.71382092 
    1.538500 	     1.923038 	  -6.71379757 
    1.538500 	     2.307473 	  -6.71372598 
