th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.538500 	     0.384608 	  -6.71492359 
    1.538500 	     0.512820 	   -6.7147613 
    1.538500 	     0.769250 	  -6.71446482 
    1.538500 	     1.025680 	  -6.71431936 
    1.538500 	     1.230818 	  -6.71423988 
    1.538500 	     1.435943 	  -6.71424036 
    1.538500 	     1.538500 	  -6.71427707 
    1.538500 	     1.641052 	  -6.71416831 
    1.538500 	     1.794869 	  -6.71405981 
    1.538500 	     1.846138 	  -6.71403658 
    1.538500 	     1.923038 	  -6.71400969 
    1.538500 	     2.307473 	  -6.71393154 
