x  	  y  	  stackinginfo
      0.0000000000	      0.0000000000	0
      2.1316303771	      1.3191392639	0
      4.2640193602	      2.6370404546	0
      6.3979190444	      3.9523483328	0
      8.5340098858	      5.2638453734	0
     10.6728513195	      6.5705515717	4
     12.8148449346	      7.8717890773	4
     14.9602094615	      9.1672130615	4
     17.1089734681	     10.4568082083	2
     19.2609928149	     11.7408471439	2
     21.4159904178	     13.0198179397	2
     23.5736061840	     14.2943399367	2
     25.7334434209	     15.5650882231	2
     27.8951033075	     16.8327387008	2
     30.0582055033	     18.0979358586	2
     32.2223970276	     19.3612793893	2
     34.3873528548	     20.6233239980	2
     36.5527714865	     21.8845871882	2
     38.7183679244	     23.1455611623	2
     40.8838657808	     24.4067260243	2
     43.0489897529	     25.6685622444	2
     45.2134595405	     26.9315605211	2
     47.3769865076	     28.1962267596	2
     49.5392747274	     29.4630792169	2
     51.7000280764	     30.7326347479	2
     53.8589641886	     32.0053827479	2
     56.0158366618	     33.2817458593	2
     58.1704682572	     34.5620236206	2
     60.3227910134	     35.8463243918	2
     62.4728839385	     37.1345015784	2
     64.6209974486	     38.4261118103	2
     66.7675548269	     39.7204109731	2
     68.9131257017	     41.0163966646	5
     71.0583734865	     42.3128948554	5
     73.2039854164	     43.6086776374	1
     75.3505982252	     44.9025910765	1
     77.4987335738	     46.1936694961	1
     79.6487548848	     47.4812157667	1
     81.8008518038	     48.7648357028	1
     83.9550514398	     50.0444261976	1
     86.1112491049	     51.3201276592	1
     88.2692477695	     52.5922578743	1
     90.4287954180	     53.8612454985	1
     92.5896125248	     55.1275780945	1
     94.7514105783	     56.3917663375	1
     96.9139034672	     57.6543206528	1
     99.0768120722	     58.9157399325	1
    101.2398635636	     60.1765104216	1
    103.4027872430	     61.4371117600	1
    105.5653085212	     62.6980274001	1
    107.7271421999	     63.9597573582	1
    109.8879863047	     65.2228314220	1
    112.0475179353	     66.4878205618	1
    114.2053931233	     67.7553434486	1
    116.3612533158	     69.0260638113	1
    118.5147414278	     70.3006733233	1
    120.6655295098	     71.5798545724	1
    122.8133571578	     72.8642214065	3
    124.9580749173	     74.1542406403	3
    127.0996822804	     75.4501489076	3
    129.2383498249	     76.7518849807	0
    131.3744213751	     78.0590541683	0
    133.5083990083	     79.3709296643	0
    135.6409133358	     80.6864891173	3
     91.1123782064	      1.1864764276	0
     93.2441476988	      2.5055502141	0
     95.3766941058	      3.8243018232	3
      4.1901889768	      5.1413531479	0
      6.3265557363	      6.4554126952	0
      8.4658019691	      7.7653739484	0
     10.6083792850	      9.0703954010	4
     12.7545489785	     10.3699470245	4
     14.9043672887	     11.6638241625	4
     17.0576972841	     12.9521261083	2
     19.2142477157	     14.2352007472	2
     21.3736272915	     15.5135684770	2
     23.5353984375	     16.7878448788	2
     25.6991191272	     18.0586775592	2
     27.8643689773	     19.3267036972	2
     30.0307613584	     20.5925273888	2
     32.1979453280	     21.8567123208	2
     34.3656012334	     23.1197847563	2
     36.5334329906	     24.3822425496	2
     38.7011590782	     25.6445669987	2
     40.8685036749	     26.9072351742	2
     43.0351890174	     28.1707308224	2
     45.2009300546	     29.4355518461	2
     47.3654328065	     30.7022117211	2
     49.5283980673	     31.9712315909	2
     51.6895317444	     33.2431203836	2
     53.8485625620	     34.5183422434	2
     56.0052697397	     35.7972688495	2
     58.1595208743	     37.0801151186	2
     60.3113125672	     38.3668706033	2
     62.4608034167	     39.6572440903	2
     64.6083285526	     40.9506387971	2
     66.7543877903	     42.2461711830	5
     68.8996056120	     43.5427367872	5
     71.0446683656	     44.8391151798	5
     73.1902499189	     46.1340963447	1
     75.3369399115	     47.4266053057	1
     77.4851880990	     48.7158020334	1
     79.6352742372	     50.0011397557	1
     81.7873063978	     51.2823753020	1
     83.9412433982	     52.5595370099	1
     86.0969315976	     53.8328649941	1
     88.2541448605	     55.1027421194	1
     90.4126175425	     56.3696333926	1
     92.5720670702	     57.6340426899	1
     94.7322088807	     58.8964832752	1
     96.8927642462	     60.1574607039	1
     99.0534620948	     61.4174670464	1
    101.2140367785	     62.6769837305	1
    103.3742235765	     63.9364901240	1
    105.5337532995	     65.1964755420	1
    107.6923471015	     66.4574528142	1
    109.8497128262	     67.7199714152	1
    112.0055445434	     68.9846276326	1
    114.1595273438	     70.2520682291	1
    116.3113496977	     71.5229828010	1
    118.4607251342	     72.7980792259	1
    120.6074229690	     74.0780376280	1
    122.7513043472	     75.3634420569	3
    124.8923560436	     76.6546969105	3
    127.0307135090	     77.9519448386	3
    129.1666684204	     79.2550067271	0
    131.3006618609	     80.5633580338	3
     86.7729645822	      1.0581335324	0
     88.9048478018	      2.3742288640	0
     91.0367415129	      3.6923197483	0
     93.1694125558	      5.0110082911	0
     95.3036433607	      6.3288931328	0
     97.4401851921	      7.6446354013	3
      6.2590931434	      8.9570377956	0
      8.4020755308	     10.2651286208	4
     10.5488426948	     11.5682216392	4
     12.6994901210	     12.8659433052	4
     14.8539019384	     14.1582262613	2
     17.0117864765	     15.4452695997	2
     19.1727323851	     16.7274745110	2
     21.3362682712	     18.0053714048	2
     23.5019115701	     19.2795542885	2
     25.6692008937	     20.5506314973	2
     27.8377126867	     21.8191948498	2
     30.0070657256	     23.0858050632	2
     32.1769176568	     24.3509891783	2
     34.3469570992	     25.6152457621	2
     36.5168938451	     26.8790544762	2
     38.6864488287	     28.1428874446	2
     40.8553449992	     29.4072203498	2
     43.0233001156	     30.6725413406	2
     45.1900226914	     31.9393555406	2
     47.3552125682	     33.2081821947	2
     49.5185676467	     34.4795411596	2
     51.6797977771	     35.7539265999	2
     53.8386471071	     37.0317671643	2
     55.9949275996	     38.3133689935	2
     58.1485600588	     39.5988461880	2
     60.2996131432	     40.8880555848	2
     62.4483292410	     42.1805538607	2
     64.5951271127	     43.4755930571	2
     66.7405759615	     44.7721633961	5
     68.8853426820	     46.0690811089	5
     71.0301209567	     47.3651079355	1
     73.1755554967	     48.6590809663	1
     75.3221759566	     49.9500286763	1
     77.4703526545	     51.2372522274	1
     79.6202806813	     52.5203598085	1
     81.7719916221	     53.7992536887	1
     83.9253851694	     55.0740810509	1
     86.0802694147	     56.3451662788	1
     88.2363987578	     57.6129434988	1
     90.3935013415	     58.8779045189	1
     92.5512975401	     60.1405627693	1
     94.7095111275	     61.4014300489	1
     96.8678739620	     62.6610054405	1
     99.0261259851	     63.9197742450	1
    101.1840123439	     65.1782140553	1
    103.3412791932	     66.4368053086	1
    105.4976693963	     67.6960443517	1
    107.6529193787	     68.9564572012	1
    109.8067584939	     70.2186119198	1
    111.9589124592	     71.4831267800	1
    114.1091125918	     72.7506702117	1
    116.2571123371	     74.0219473820	1
    118.4027113118	     75.2976681612	1
    120.5457844075	     76.5784934657	3
    122.6863103881	     77.8649614134	3
    124.8243937057	     79.1574016033	3
    126.9602754098	     80.4558559477	3
     82.4340326591	      0.9420147792	0
     84.5667722501	      2.2512516459	0
     86.6988079211	      3.5645862621	0
     88.8308362553	      4.8808027794	0
     90.9636099062	      6.1985347417	0
     93.0979121150	      7.5163643295	0
     95.2345146688	      8.8329097237	0
     97.3741164414	     10.1469035872	0
     99.5172788754	     11.4572713735	3
      8.3437714820	     12.7631978154	4
     10.4949451716	     14.0641653282	4
     12.6501198759	     15.3599581994	4
     14.8090208065	     16.6506341187	2
     16.9712323959	     17.9364704104	2
     19.1362616577	     19.2178982899	2
     21.3035926588	     20.4954395366	2
     23.4727254136	     21.7696543628	2
     25.6431983062	     23.0411050380	2
     27.8145964871	     24.3103352222	2
     29.9865503860	     25.5778620171	2
     32.1587283951	     26.8441769466	2
     34.3308267869	     28.1097525581	2
     36.5025588916	     29.3750520516	2
     38.6736448401	     30.6405398695	2
     40.8438028425	     31.9066913420	2
     43.0127429784	     33.1739993065	2
     45.1801648363	     34.4429751166	2
     47.3457606851	     35.7141407824	2
     49.5092256474	     36.9880092457	2
     51.6702756957	     38.2650513048	2
     53.8286756707	     39.5456473583	2
     55.9842780846	     40.8300216419	2
     58.1370654916	     42.1181710056	2
     60.2871855042	     43.4098072031	2
     62.4349670162	     44.7043306075	2
     64.5809091935	     46.0008487169	5
     66.7256411779	     47.2982431507	5
     68.8698579712	     48.5952769687	5
     71.0142440990	     49.8907241457	1
     73.1593997556	     51.1834973188	1
     75.3057835510	     52.4727500367	1
     77.4536818236	     53.7579359327	1
     79.6032075956	     55.0388181901	1
     81.7543243803	     56.3154352730	1
     83.9068843948	     57.5880385768	1
     86.0606697432	     58.8570211996	1
     88.2154253433	     60.1228567170	1
     90.3708811800	     61.3860555340	1
     92.5267669670	     62.6471350618	1
     94.6828200844	     63.9066027346	1
     96.8387879762	     65.1649504563	1
     98.9944268642	     66.4226575228	1
    101.1494986535	     67.6801991100	1
    103.3037673986	     68.9380581771	1
    105.4569965492	     70.1967389785	1
    107.6089481373	     71.4567803994	1
    109.7593850981	     72.7187669193	1
    111.9080779653	     73.9833340955	1
    114.0548170240	     75.2511642453	1
    116.1994302969	     76.5229670898	1
    118.3418061647	     77.7994407799	5
    120.4819170150	     79.0812122475	3
    122.6198387125	     80.3687605597	3
     78.0954622196	      0.8443191735	4
     80.2297015780	      2.1438465554	4
     82.3626894082	      3.4489126033	0
     84.4949727440	      4.7587466767	0
     86.6271981607	      6.0722746154	0
     88.7600905943	      7.3882042434	0
     90.8944253286	      8.7051291759	0
     93.0309865178	     10.0216335141	0
     95.1705087181	     11.3363865457	0
     97.3136091966	     12.6482257475	3
     99.4607252771	     13.9562263625	3
    101.6120704006	     15.2597475111	3
     10.4470191659	     16.5584455712	4
     12.6065361180	     17.8522531893	5
     14.7696191167	     19.1413323201	2
     16.9357700980	     20.4260145146	2
     19.1044517741	     21.7067416203	2
     21.2751326306	     22.9840138437	2
     23.4473156525	     24.2583506306	2
     25.6205516005	     25.5302659312	2
     27.7944406095	     26.8002559465	2
     29.9686264282	     28.0687962570	2
     32.1427867968	     29.3363453291	2
     34.3166223699	     30.6033519544	2
     36.4898457223	     31.8702646697	2
     38.6621714810	     33.1375414136	2
     40.8333084963	     34.4056575355	2
     43.0029551217	     35.6751098372	2
     45.1707990305	     36.9464136442	2
     47.3365234066	     38.2200893004	2
     49.4998210034	     39.4966355166	2
     51.6604170961	     40.7764888824	2
     53.8181037748	     42.0599661618	2
     55.9727828569	     43.3471919501	2
     58.1245074875	     44.6380297216	2
     60.2735103906	     45.9320361177	2
     62.4202078618	     47.2284550878	2
     64.5651737284	     48.5262611173	5
     66.7090850799	     49.8242493594	5
     68.8526488971	     51.1211588284	1
     70.9965235772	     52.4158065339	1
     73.1412506571	     53.7072073853	1
     75.2872095422	     54.9946578602	1
     77.4346021702	     56.2777704589	1
     79.5834664460	     57.5564587215	1
     81.7337097695	     58.8308847617	1
     83.8851512437	     60.1013880294	1
     86.0375598401	     61.3684160542	1
     88.1906810785	     62.6324719467	1
     90.3442554664	     63.8940774485	1
     92.4980298040	     65.1537495167	1
     94.6517620252	     66.4119895929	1
     96.8052215228	     67.6692827516	1
     98.9581871144	     68.9261036022	1
    101.1104441531	     70.1829265281	1
    103.2617820217	     71.4402383258	1
    105.4119930635	     72.6985515785	1
    107.5608738852	     73.9584170059	1
    109.7082299158	     75.2204324612	1
    111.8538839779	     76.4852452522	1
    113.9976892050	     77.7535433095	5
    116.1395457458	     79.0260301327	5
    118.2794192997	     80.3033797896	5
     73.7570574052	      0.7681612246	4
     75.8932044568	      2.0568064817	4
     78.0278063362	      3.3514549477	4
     80.1612190175	      4.6519282637	4
     82.2939112618	      5.9576845953	4
     84.4264627372	      7.2678346036	0
     86.5595523610	      8.5812061863	0
     88.6939334299	      9.8964435971	0
     90.8303927598	     11.2121207908	0
     92.9696934752	     12.5268529181	3
     95.1125059797	     13.8393950076	3
     97.2593382662	     15.1487216004	3
     99.4104808963	     16.4540809273	3
    101.5659817000	     17.7550161700	3
    103.7256586944	     19.0513513709	5
     12.5685455023	     20.3431480565	5
     14.7353613447	     21.6306479920	5
     16.9049622607	     22.9142166399	2
     19.0767969946	     24.1942923208	2
