x  	  y  	  stackinginfo
      0.0000000000	      0.0000000000	2
      2.1341629768	      1.3148186825	2
      4.2692192824	      2.6280745301	2
      6.4057724979	      3.9386895828	2
      8.5443564773	      5.2457271947	2
     10.6854044962	      6.5484475561	2
     12.8292216202	      7.8463504138	5
     14.9759652700	      9.1391983601	5
     17.1256405709	     10.4270142646	5
     19.2781144856	     11.7100501134	1
     21.4331458087	     12.9887335060	1
     23.5904224269	     14.2636053139	1
     25.7495965549	     15.5352623596	1
     27.9103119550	     16.8043138042	1
     30.0722213339	     18.0713536377	1
     32.2349949985	     19.3369473104	1
     34.3983230155	     20.6016287861	1
     36.5619132650	     21.8659041413	1
     38.7254873828	     23.1302584251	1
     40.8887762401	     24.3951630959	1
     43.0515163333	     25.6610816431	1
     45.2134480944	     26.9284715604	1
     47.3743171133	     28.1977811529	1
     49.5338800321	     29.4694381815	1
     51.6919160079	     30.7438282916	1
     53.8482427184	     32.0212649841	1
     56.0027363018	     33.3019538777	1
     58.1553545580	     34.5859530266	1
     60.3061588179	     35.8731370154	1
     62.4553287831	     37.1631735097	1
     64.6031661740	     38.4555187784	1
     66.7500845574	     39.7494356290	3
     68.8965844505	     41.0440347087	3
     71.0432148933	     42.3383377760	3
     73.1905253622	     43.6313579655	0
     75.3390145704	     44.9221874000	0
     77.4890843131	     46.2100787359	0
     79.6410063519	     47.4945064776	0
     81.7949081149	     48.7751971052	0
     83.9507787887	     50.0521239883	0
     86.1084921407	     51.3254719090	0
     88.2678384106	     52.5955832559	0
     90.4285568505	     53.8629005360	0
     92.5903621380	     55.1279178255	0
     94.7529631675	     56.3911454245	0
     96.9160741513	     57.6530876723	0
     99.0794182337	     58.9142337001	0
    101.2427257080	     60.1750585081	0
    103.4057293834	     61.4360302620	0
    105.5681590398	     62.6976204029	0
    107.7297361061	     63.9603144274	0
    109.8901695614	     65.2246217926	0
    112.0491543301	     66.4910829504	0
    114.2063738052	     67.7602708173	0
    116.3615085473	     69.0327830875	0
    118.5142533122	     70.3092210515	0
    120.6643436717	     71.5901508184	0
    122.8115910099	     72.8760455011	4
    124.9559206171	     74.1672132166	4
    127.0974036715	     75.4637246968	4
    129.2362732486	     76.7653607203	2
    131.3729189824	     78.0715965768	2
    133.5078622653	     79.3816280453	2
    135.6417186052	     80.6944308843	2
     91.1148536399	      1.1908300140	2
     93.2485477789	      2.5056328013	2
     95.3831692432	      3.8196335560	2
      4.1987542749	      5.1317099023	2
      6.3370820723	      6.4408538656	2
      8.4780314865	      7.7462243929	2
     10.6219544528	      9.0471957420	5
     12.7690490345	     10.3433895221	5
     14.9193484734	     11.6346846855	5
     17.0727306897	     12.9212007596	1
     19.2289473072	     14.2032560740	1
     21.3876639047	     15.4813110532	1
     23.5485006630	     16.7559101188	1
     25.7110653230	     18.0276329711	1
     27.8749751852	     19.2970602862	1
     30.0398687255	     20.5647538849	1
     32.2054092216	     21.8312486036	1
     34.3712830962	     23.0970523339	1
     36.5371953695	     24.3626508737	1
     38.7028640918	     25.6285147420	1
     40.8680152396	     26.8951055114	1
     43.0323793409	     28.1628793962	1
     45.1956907886	     29.4322865179	1
     47.3576911266	     30.7037639392	1
     49.5181376899	     31.9777194200	1
     51.6768174797	     33.2545052227	1
     53.8335652474	     34.5343847448	1
     55.9882859657	     35.8174938374	1
     58.1409788953	     37.1038012897	1
     60.2917571851	     38.3930783972	1
     62.4408579556	     39.6848844020	1
     64.5886394912	     40.9785730471	3
     66.7355637016	     42.2733224075	3
     68.8821639081	     43.5681877252	3
     71.0290004371	     44.8621742085	0
     73.1766093302	     46.1543225599	0
     75.3254517968	     47.4437954710	0
     77.4758728822	     48.7299508105	0
     79.6280766812	     50.0123883660	0
     81.7821221388	     51.2909621850	0
     83.9379383536	     52.5657588879	0
     86.0953532106	     53.8370509060	0
     88.2541273115	     55.1052384766	0
     90.4139846730	     56.3707953283	0
     92.5746359023	     57.6342267629	0
     94.7357934259	     58.8960411253	0
     96.8971785466	     60.1567346713	0
     99.0585219694	     61.4167881017	0
    101.2195605675	     62.6766711773	0
    103.3800327283	     63.9368517363	0
    105.5396737803	     65.1978064626	0
    107.6982123513	     66.4600317692	0
    109.8553687175	     67.7240530589	0
    112.0108564625	     68.9904300855	0
    114.1643890479	     70.2597553287	0
    116.3156930195	     71.5326413463	0
    118.4645290885	     72.8096926034	0
    120.6107207594	     74.0914583827	0
    122.7541873194	     75.3783672926	4
    124.8949746229	     76.6706517410	4
    127.0332753602	     77.9682797349	2
    129.1694323876	     79.2709147389	2
    131.3039239023	     80.5779168270	2
     86.7770332290	      1.0703729208	2
     88.9100125592	      2.3832150907	2
     91.0432424337	      3.6972367455	2
     93.1774084309	      5.0112227904	2
     95.3131768023	      6.3240087753	2
     97.4511624566	      7.6345309940	2
      6.2712902012	      8.9418700748	2
      8.4151636321	     10.2452978502	2
     10.5624249994	     11.5443160310	5
     12.7131438348	     12.8386750804	5
     14.8672192871	     14.1283682923	5
     17.0244064371	     15.4136010117	1
     19.1843577635	     16.6947417405	1
     21.3466680776	     17.9722669229	1
     23.5109128950	     19.2467106132	1
     25.6766753411	     20.5186257795	1
     27.8435614798	     21.7885589864	1
     30.0112061876	     23.0570372140	1
     32.1792724626	     24.3245639476	1
     34.3474468624	     25.5916213747	1
     36.5154332345	     26.8586758457	1
     38.6829464020	     28.1261841480	1
     40.8497071410	     29.3945983198	1
     43.0154396010	     30.6643667890	1
     45.1798722328	     31.9359304005	1
     47.3427435498	     33.2097110766	1
     49.5038134790	     34.4860907030	1
     51.6628796718	     35.7653808414	1
     53.8197983858	     37.0477860447	1
     55.9745091423	     38.3333628422	1
     58.1270580995	     39.6219828186	1
     60.2776141944	     40.9133095073	1
     62.4264735612	     42.2067939472	1
     64.5740496041	     43.5016929227	3
     66.7208477542	     44.7971108224	3
     68.8674261126	     46.0920634645	3
     71.0143459223	     47.3855588861	0
     73.1621185797	     48.6766855191	0
     75.3111576454	     49.9646943022	0
     77.4617442560	     51.2490603671	0
     79.6140121019	     52.5295130920	0
     81.7679536032	     53.8060304265	0
     83.9234432160	     55.0788025026	0
     86.0802707699	     56.3481763964	0
     88.2381757181	     57.6145975395	0
     90.3968748776	     58.8785609320	0
     92.5560818728	     60.1405760385	0
     94.7155178665	     61.4011455253	0
     96.8749147895	     62.6607567544	0
     99.0340138224	     63.9198829033	0
    101.1925617438	     65.1789900746	0
    103.3503070225	     66.4385473193	0
    105.5069965775	     67.6990377059	0
    107.6623741299	     68.9609688470	0
    109.8161811979	     70.2248809718	0
    111.9681619418	     71.4913499802	0
    114.1180731998	     72.7609819761	0
    116.2657008796	     74.0343949461	0
    118.4108829172	     75.3121833667	0
    120.5535369468	     76.5948637361	4
    122.6936882878	     77.8828038960	4
    124.8314919956	     79.1761476818	4
    126.9672428932	     80.4747545399	2
     82.4410697619	      0.9601616012	2
     84.5741173986	      2.2676471347	2
     86.7067100190	      3.5782169270	2
     88.8395203327	      4.8907302506	2
     90.9732415907	      6.2039749642	2
     93.1085613767	      7.5167507089	2
     95.2461279099	      8.8279396297	2
     97.3865112005	     10.1365559154	2
     99.5301617951	     11.4417880598	2
      8.3567724982	     12.7430371989	2
     10.5076606384	     14.0399426705	5
     12.6621564433	     15.3323846385	5
     14.8200311344	     16.6204615000	5
     16.9809362688	     17.9044482458	1
     19.1444514741	     19.1847457107	1
     21.3101272446	     20.4618313966	1
     23.4775166483	     21.7362188285	1
     25.6461949375	     23.0084284873	1
     27.8157684613	     24.2789704381	1
     29.9858756401	     25.5483366719	1
     32.1561829491	     26.8170004019	1
     34.3263783911	     28.0854196457	1
     36.4961643359	     29.3540427447	1
     38.6652511560	     30.6233136851	1
     40.8333528834	     31.8936750304	1
     43.0001860231	     33.1655662566	1
     45.1654725625	     34.4394161003	1
     47.3289483978	     35.7156265195	1
     49.4903775700	     36.9945467683	1
     51.6495714956	     38.2764393514	1
     53.8064128167	     39.5614400519	1
     55.9608811132	     40.8495162649	1
     58.1130743523	     42.1404349880	1
     60.2632204441	     43.4337487507	1
     62.4116750438	     44.7288023577	3
     64.5589038364	     46.0247633066	3
     66.7054493574	     47.3206755601	3
     68.8518849215	     48.6155334026	0
     70.9987611725	     49.9083681562	0
     73.1465532432	     51.1983359660	0
     75.2956174955	     52.4847921049	0
     77.4461656930	     53.7673382068	0
     79.5982608438	     55.0458341773	0
     81.7518331654	     56.3203752905	0
     83.9067107170	     57.5912432227	0
     86.0626557989	     58.8588458628	0
     88.2193972816	     60.1236618843	0
     90.3766543577	     61.3861986377	0
