x  	  y  	  stackinginfo
      0.0000000000	      0.0000000000	0
      2.1972913490	      1.2049392081	0
      4.3941644763	      2.4104902520	0
      6.5902283343	      3.6173197253	0
      8.7851628129	      4.8260446959	0
     10.9787340419	      6.0371778871	3
     13.1707921811	      7.2510838160	3
     15.3612663436	      8.4679535005	3
     17.5501602588	      9.6878020629	1
     19.7375442646	     10.9104904550	1
     21.9235412089	     12.1357652751	1
     24.1083085702	     13.3633047230	1
     26.2920210831	     14.5927592108	1
     28.4748571423	     15.8237803929	1
     30.6569901904	     17.0560378634	1
     32.8385846841	     18.2892258772	1
     35.0197955052	     19.5230632294	1
     37.2007696156	     20.7572890336	1
     39.3816489562	     21.9916564378	1
     41.5625738392	     23.2259256912	1
     43.7436862345	     24.4598576263	1
     45.9251323863	     25.6932084644	1
     48.1070640328	     26.9257271156	1
     50.2896373040	     28.1571564671	1
     52.4730083586	     29.3872402099	1
     54.6573253104	     30.6157359708	1
     56.8427158631	     31.8424351982	1
     59.0292694063	     33.0671916693	1
     61.2170158246	     34.2899555300	1
     63.4059055997	     35.5108041925	1
     65.5957964532	     36.7299607908	1
     67.7864517177	     37.9477927686	1
     69.9775539715	     39.1647879611	5
     72.1687341026	     40.3815112184	5
     74.3596113592	     41.5985488309	2
     76.5498359266	     42.8164499178	2
     78.7391244924	     44.0356741452	2
     80.9272819285	     45.2565541502	2
     83.1142070099	     46.4792784285	2
     85.2998844544	     47.7038958702	2
     87.4843680504	     48.9303377875	2
     89.6677602114	     50.1584494690	2
     91.8501928787	     51.3880222564	2
     94.0318132402	     52.6188185924	2
     96.2127737585	     53.8505893035	2
     98.3932258002	     55.0830849680	2
    100.5733167898	     56.3160613297	2
    102.7531902511	     57.5492797234	2
    104.9329878186	     58.7825040568	2
    107.1128524604	     60.0154957175	2
    109.2929323575	     61.2480074670	2
    111.4733849053	     62.4797772865	2
    113.6543801468	     63.7105233183	2
    115.8361027054	     64.9399414702	2
    118.0187508977	     66.1677077700	2
    120.2025314355	     67.3934881567	2
    122.3876482737	     68.6169584108	2
    124.5742852591	     69.8378355611	4
    126.7625845239	     71.0559185277	4
    128.9526251065	     72.2711305641	4
    131.1444067232	     73.4835523507	0
    133.3378404192	     74.6934361063	0
    135.5327436636	     75.9011971729	0
    137.7288390340	     77.1073842886	3
     46.6051629463	     78.3126318719	0
     48.8025029744	     79.5176070421	0
     50.9998297430	     80.7229813769	3
      6.5364343304	      1.1114168387	0
      8.7325623185	      2.3195818174	0
     10.9276326221	      3.5300279681	0
     13.1214427783	      4.7431863485	3
     15.3138625725	      5.9593203500	3
     17.5048303083	      7.1785115419	1
     19.6943497933	      8.4006712629	1
     21.8824831299	      9.6255753748	1
     24.0693380719	     10.8529112422	1
     26.2550526228	     12.0823234935	1
     28.4397805385	     13.3134493410	1
     30.6236802096	     14.5459406307	1
     32.8069077258	     15.7794743114	1
     34.9896137301	     17.0137545755	1
     37.1719430886	     18.2485097236	1
     39.3540363763	     19.4834861701	1
     41.5360323465	     20.7184412826	1
     43.7180707372	     21.9531362449	1
     45.9002948544	     23.1873298889	1
     48.0828533452	     24.4207744780	1
     50.2659002686	     25.6532147489	1
     52.4495924137	     26.8843917655	1
     54.6340830454	     28.1140528560	1
     56.8195117943	     29.3419680028	1
     59.0059894507	     30.5679540307	1
     61.1935777646	     31.7919070069	1
     63.3822682299	     33.0138361038	1
     65.5719647749	     34.2338895612	1
     67.7624757491	     35.4523639749	1
     69.9535198138	     36.6696915798	5
     72.1447477818	     37.8864058118	5
     74.3357782929	     39.1030906083	5
     76.5262405684	     40.3203219297	2
     78.7158146973	     41.5386109502	2
     80.9042608009	     42.7583580163	2
     83.0914325211	     43.9798247786	2
     85.2772751772	     45.2031282211	2
     87.4618124477	     46.4282550120	2
     89.6451268751	     47.6550896565	2
     91.8273394157	     48.8834475630	2
     94.0085926253	     50.1131041788	2
     96.1890387135	     51.3438157328	2
     98.3688313641	     52.5753335640	2
    100.5481212248	     53.8074124233	2
    102.7270546755	     55.0398132081	2
    104.9057750915	     56.2723015966	2
    107.0844257817	     57.5046441193	2
    109.2631539518	     58.7366028466	2
    111.4421151767	     59.9679296710	2
    113.6214778245	     61.1983611897	2
    115.8014266800	     62.4276154586	2
    117.9821646538	     63.6553922888	2
    120.1639110619	     64.8813792238	2
    122.3468946040	     66.1052655654	2
    124.5313395050	     67.3267662844	2
    126.7174448042	     68.5456555877	4
    128.9053595110	     69.7618061361	4
    131.0951589135	     70.9752257634	4
    133.2868271763	     72.1860820316	0
    135.4802477559	     73.3947077405	3
     44.3545987122	     74.6015850043	0
     46.5507642143	     75.8073084116	0
     48.7477482925	     77.0125343156	0
     50.9451224632	     78.2179386541	0
     53.1424661144	     79.4242005537	0
     55.3393975911	     80.6319824776	3
     10.8752975894	      1.0238737267	0
     13.0705207434	      2.2363845122	3
     15.2645877530	      3.4518331931	3
     17.4573828592	      4.6703682629	3
     19.6488511879	      5.8919579898	1
     21.8389960938	      7.1164179858	1
     24.0278720072	      8.3434562642	1
     26.2155728714	      9.5727217771	1
     28.4022188940	     10.8038447739	1
     30.5879445518	     12.0364639717	1
     32.7728897732	     13.2702413254	1
     34.9571946354	     14.5048671450	1
     37.1409970484	     15.7400586478	1
     39.3244326400	     16.9755546955	1
     41.5076360780	     18.2111087345	1
     43.6907431661	     19.4464813170	1
     45.8738930994	     20.6814332170	1
     48.0572303030	     21.9157200337	1
     50.2409051851	     23.1490893602	1
     52.4250728709	     24.3812819723	1
     54.6098888147	     25.6120385670	1
     56.7955006314	     26.8411129484	1
     58.9820356180	     28.0682921582	1
     61.1695825868	     29.2934254276	1
     63.3581703097	     30.5164588927	1
     65.5477474206	     31.7374671339	1
     67.7381689696	     32.9566720784	1
     69.9291948986	     34.1744417109	1
     72.1205040553	     35.3912659391	5
     74.3117238730	     36.6077127635	5
     76.5024711327	     37.8243721002	2
     78.6923951301	     39.0417964843	2
     80.8812135145	     40.2604481563	2
     83.0687338601	     41.4806611263	2
     85.2548589596	     42.7026241617	2
     87.4395782849	     43.9263858826	2
     89.6229505393	     45.1518775413	2
     91.8050827747	     46.3789452012	2
     93.9861112391	     47.6073820476	2
     96.1661870978	     48.8369531879	2
     98.3454663265	     50.0674129808	2
    100.5241033618	     51.2985163256	2
    102.7022484092	     52.5300239856	2
    104.8800477136	     53.7617031979	2
    107.0576459077	     54.9933251045	2
    109.2351897297	     56.2246603685	2
    111.4128325883	     57.4554740261	2
    113.5907394856	     58.6855205505	2
    115.7690916890	     59.9145401821	2
    117.9480902478	     61.1422578168	2
    120.1279570340	     62.3683860851	2
    122.3089315982	     63.5926345062	2
    124.4912619738	     64.8147265139	2
    126.6751879435	     66.0344251126	4
    128.8609170506	     67.2515658166	4
    131.0485968750	     68.4660922824	4
    133.2382895679	     69.6780872393	3
     42.1093525283	     70.8877907547	0
     44.3028362840	     72.0955998861	0
     46.4978772695	     73.3020465843	0
     48.6941195877	     74.5077564085	0
     50.8911477723	     75.7134021210	0
     53.0885323110	     76.9196707591	0
     55.2858695043	     78.1272391174	0
     57.4828084508	     79.3367373878	0
     59.6790644577	     80.5486999793	3
     15.2141181535	      0.9455061967	3
     17.4084124510	      2.1633935405	3
     19.6015450284	      3.3843794953	3
     21.7934693431	      4.6083274290	1
     23.9841904172	      5.8349760936	1
     26.1737572310	      7.0639887322	1
     28.3622520143	      8.2949968421	1
     30.5497790220	      9.5276317317	1
     32.7364551697	     10.7615437988	1
     34.9224034549	     11.9964110993	1
     37.1077491152	     13.2319401033	1
     39.2926180553	     14.4678616322	1
     41.4771369577	     15.7039242836	1
     43.6614345048	     16.9398869275	1
     45.8456431632	     18.1755113650	1
     48.0299009462	     19.4105560513	1
     50.2143525045	     20.6447718195	1
     52.3991487170	     21.8779008251	1
     54.5844438434	     23.1096802452	1
     56.7703893022	     24.3398521807	1
     58.9571235383	     25.5681803276	1
     61.1447567283	     26.7944746180	1
     63.3333501121	     28.0186244423	1
     65.5228941386	     29.2406337114	1
     67.7132907189	     30.4606478406	1
     69.9043449197	     31.6789635732	1
     72.0957709027	     32.8960161466	5
     74.2872142938	     34.1123441775	5
     76.4782888098	     35.3285379534	5
     78.6686201264	     36.5451798044	2
     80.8578870731	     37.7627861734	2
     83.0458512067	     38.9817607461	2
     85.2323701329	     40.2023663587	2
     87.4173950491	     41.4247195726	2
     89.6009565879	     42.6488061176	2
     91.7831445037	     43.8745102085	2
     93.9640867639	     45.1016485100	2
     96.1439326580	     46.3299991860	2
     98.3228405394	     47.5593225245	2
    100.5009695003	     48.7893753018	2
    102.6784750189	     50.0199189946	2
    104.8555079706	     51.2507226080	2
