x  	  y  	  stackinginfo
      0.0000000000	      0.0000000000	0
      2.1973400325	      1.2048126644	0
      4.3942602728	      2.4102713444	0
      6.5903905074	      3.6170120533	0
      8.7854234460	      4.8256205170	0
     10.9791272484	      6.0365842944	0
     13.1713454423	      7.2502555432	3
     15.3619950066	      8.4668304098	3
     17.5510647379	      9.6863466940	1
     19.7386096049	     10.9086998769	1
     21.9247386739	     12.1336739573	1
     24.1095986831	     13.3609793207	1
     26.2933574151	     14.5902888143	1
     28.4761901986	     15.8212658641	1
     30.6582709545	     17.0535824860	1
     32.8397676423	     18.2869280725	1
     35.0208412243	     19.5210111529	1
     37.2016470799	     20.7555564192	1
     39.3823379476	     21.9902989536	1
     41.5630675604	     23.2249771747	1
     43.7439942042	     24.4593258765	1
     45.9252833003	     25.6930707992	1
     48.1071077985	     26.9259266422	1
     50.2896448978	     28.1576009516	1
     52.4730680127	     29.3878058828	1
     54.6575342213	     30.6162777565	1
     56.8431672242	     31.8428039545	1
     59.0300362490	     33.0672570971	1
     61.2181357162	     34.2896288148	1
     63.4073708927	     35.5100532266	1
     65.5975537259	     36.7288131649	1
     67.7884113255	     37.9463262416	5
     69.9796072101	     39.1631122587	5
     72.1707727877	     40.3797468117	5
     74.3615440758	     41.5968077756	2
     76.5515971761	     42.8148221433	2
     78.7406762255	     44.0342208242	2
     80.9286094950	     45.2553082018	2
     83.1153123291	     46.4782507734	2
     85.3007786587	     47.7030849690	2
     87.4850649904	     48.9297395972	2
     89.6682715903	     50.1580653882	2
     91.8505253927	     51.3878635800	2
     94.0319675464	     52.6189073874	2
     96.2127449204	     53.8509566060	2
     98.3930049260	     55.0837669705	2
    100.5728934677	     56.3170943585	2
    102.7525554126	     57.5506947181	2
    104.9321367760	     58.7843210021	2
    107.1117879255	     60.0177183045	2
    109.2916672525	     61.2506182607	2
    111.4719447102	     62.4827337956	2
    113.6528043798	     63.7137556115	2
    115.8344449438	     64.9433522633	2
    118.0170765940	     66.1711761125	2
    120.2009128281	     67.3968777316	2
    122.3861562240	     68.6201306889	2
    124.5729791065	     69.8406663845	4
