th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.080027 	     0.747935 	  -6.95848551 
    1.080027 	     0.773475 	  -6.95848106 
    1.080027 	     0.880752 	  -6.95846558 
    1.080027 	     0.920602 	  -6.95846141 
    1.080027 	     0.947170 	   -6.9584591 
    1.080027 	     0.814340 	  -6.95847449 
    1.080027 	     1.080027 	   -6.9584522 
    1.080027 	     1.212907 	  -6.95838503 
    1.080027 	     1.239486 	  -6.95837314 
    1.080027 	     1.279357 	  -6.95835655 
    1.080027 	     1.386709 	  -6.95831912 
    1.080027 	     1.442482 	  -6.95830957 
    1.080027 	     1.523050 	  -6.95829222 
    1.080027 	     1.578444 	  -6.95828195 
    1.080027 	     1.649671 	  -6.95827023 
