th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.080027 	     0.747935 	  -6.95848617 
    1.080027 	     0.773475 	  -6.95848179 
    1.080027 	     0.814340 	  -6.95847526 
    1.080027 	     0.880752 	  -6.95846658 
    1.080027 	     0.920602 	  -6.95846261 
    1.080027 	     0.947170 	  -6.95846055 
    1.080027 	     1.080027 	   -6.9584623 
    1.080027 	     1.212907 	  -6.95838634 
    1.080027 	     1.239486 	   -6.9583742 
    1.080027 	     1.279357 	   -6.9583574 
    1.080027 	     1.386709 	  -6.95831975 
    1.080027 	     1.442482 	  -6.95831017 
    1.080027 	     1.523050 	  -6.95829277 
    1.080027 	     1.578444 	  -6.95828246 
    1.080027 	     1.649671 	  -6.95827063 
