th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    0.601428 	     0.000000 	  -7.19307687 
    0.601428 	     0.085921 	  -7.19307978 
    0.601428 	     0.120290 	  -7.19307952 
    0.601428 	     0.200482 	  -7.19307742 
    0.601428 	     0.257762 	  -7.19308011 
    0.601428 	     0.300722 	  -7.19308031 
    0.601428 	     0.360865 	  -7.19308319 
    0.601428 	     0.400960 	  -7.19308549 
    0.601428 	     0.451078 	  -7.19308858 
    0.601428 	     0.515514 	  -7.19309235 
    0.601428 	     0.601428 	  -7.19309627 
    0.601428 	     0.735065 	  -7.19303726 
    0.601428 	     0.801881 	  -7.19300909 
    0.601428 	     0.841969 	  -7.19299329 
    0.601428 	     0.902100 	  -7.19297159 
    0.601428 	     0.945050 	  -7.19295846 
    0.601428 	     1.002314 	  -7.19294065 
    0.601428 	     1.082481 	  -7.19292107 
    0.601428 	     1.116837 	  -7.19291348 
    0.601428 	     1.202723 	  -7.19289361 
    0.601428 	     1.288603 	  -7.19288067 
    0.601428 	     1.322954 	  -7.19287526 
    0.601428 	     1.403102 	  -7.19286458 
