Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
    -1.202855       -0.010739      55122         -383393.358255852  -383492.757373661
    -1.202855        0.107388     344518         -2396249.49853093  -2396867.08660745
    -1.202855        0.186135     124028         -862661.151328448  -862882.445303324
    -1.202855        0.284566     220498         -1533647.98391738  -1534044.40480615
    -1.202855        0.343622     344532         -2396353.85412401  -2396974.2429826
    -1.202855        0.411112     675292         -4696922.7049347  -4698148.39827592
    -1.202855        0.461728    1378162         -9585668.7541676  -9588188.27859358
    -1.202855        0.501094    3100892         -21567959.56053  -21573667.4236643
    -1.202855        0.579824      13782         -95859.5180590173  -95885.3345673089
    -1.202855        0.697911    1378242         -9586264.5397832  -9588746.16341991
    -1.202855        0.748516     675348         -4697339.74670565  -4698535.69135587
    -1.202855        0.815986     344572         -2396651.73013106  -2397248.24791767
    -1.202855        0.875019     220530         -1533886.27464186  -1534261.68432838
    -1.202855        0.973401     124052         -862839.853035532  -863045.328906014
    -1.202855        1.052100     344598         -2396845.1161181  -2397404.51889125
    -1.202855        1.170136      55138         -383512.461605675  -383598.538802876
    -1.202855        1.288158     344628         -2397068.02189363  -2397599.81748356
    -1.202855        1.366830     124070         -862973.592004622  -863162.424392826
    -1.202855        1.465159     220578         -1534242.8884738  -1534572.43131136
    -1.202855        1.524151     344662         -2397320.34628705  -2397831.93407985
