Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
    -1.202855       -0.010739      55122         -383389.677190247  -383476.662887059
    -1.202855        0.107388     344518         -2396226.49187084  -2396771.72439215
    -1.202855        0.186135     124028         -862652.868930804  -862849.160993043
    -1.202855        0.284566     220498         -1533633.25965492  -1533981.84720599
    -1.202855        0.343622     344532         -2396330.84746392  -2396877.83712508
    -1.202855        0.411112     675292         -4696877.61188096  -4697954.67836366
    -1.202855        0.461728    1378162         -9585576.72752724  -9587789.25420289
    -1.202855        0.501094    3100892         -21567752.5006032  -21572763.1067879
    -1.202855        0.579824      13782         -95858.597792612  -95881.2371831597
    -1.202855        0.658550    3101012         -21568646.1883652  -21573593.7757593
    -1.202855        0.697911    1378242         -9586172.51314384  -9588338.96538514
    -1.202855        0.748516     675348         -4697294.65365192  -4698336.62664566
    -1.202855        0.815986     344572         -2396628.72347092  -2397148.03983632
    -1.202855        0.875019     220530         -1533871.55037938  -1534197.03280711
    -1.202855        0.973401     124052         -862831.570637889  -863009.831922481
    -1.202855        1.052100     344598         -2396822.109458  -2397305.52900851
    -1.202855        1.170136      55138         -383508.780540047  -383583.60132749
    -1.202855        1.288158     344628         -2397045.01523349  -2397501.31935273
    -1.202855        1.366830     124070         -862965.309606977  -863126.152865263
    -1.202855        1.465159     220578         -1534228.16421131  -1534509.48736986
    -1.202855        1.524151     344662         -2397297.33962693  -2397733.1044601
