rcut(Angstrom)   ang12(deg)  ang32(deg)   # of atom      E_init(eV)     E_final(eV)
 2     2.004628        2.004628       4902         -58373.2440936747  -58380.6277559038
 4     2.004628        2.004628       4902         -58373.3055827209  -58380.6861318544
 6     2.004628        2.004628       4902         -58373.194612398  -58380.6252977019
 8     2.004628        2.004628       4902         -58373.0463647397  -58380.5371252666
10     2.004628        2.004628       4902         -58373.1482575309  -58380.5140079197
12     2.004628        2.004628       4902         -58373.1061133172  -58380.5156445837
14     2.004628        2.004628       4902         -58372.9417591695  -58380.4406430817
16     2.004628        2.004628       4902         -58373.037256628  -58380.4483393829
18     2.004628        2.004628       4902         -58373.3002056322  -58380.6311389133
20     2.004628        2.004628       4902         -58373.1725650411  -58380.5088919649
