     ang12(deg)      ang32(deg)   # of atom      E_init(eV)         E_final(eV)
     1.084549        0.813418     267930         -3190506.59231365  -3191209.00486262
     1.084549        0.976099    1674582         -19940950.3860696  -19945264.0985093
     1.084549        1.084549      16746         -199412.12278512  -199455.682357503
     1.084549        1.192995    1674622         -19941532.7858723  -19945524.4971074
     1.084549        1.355656     267946         -3190739.58627824  -3191313.22853962
     1.538500        1.282100     299582         -3567409.55689622  -3567974.17358454
     1.538500        1.435943    1872422         -22296811.9476012  -22300353.2213926
     1.538500        1.538500       8322         -99098.7533914185  -99114.8647188864
     1.538500        1.641052    1872482         -22297685.5586841  -22301011.7164426
     1.538500        1.794869     299606         -3567758.91299289  -3568241.29836217
     2.004628        1.754083     313714         -3735683.57505827  -3736135.98027783
     2.004628        1.904414    1960762         -23348743.2740503  -23351613.2702441
     2.004628        2.004628       4902         -58373.2403115623  -58380.6576634871
     2.004628        2.104836    1960842         -23349907.8550506  -23352649.0331975
     2.004628        2.255134     313746         -3736149.49581307  -3736554.56579141
