    ang12(deg)      ang32(deg)   # of atom      E_init(eV)         E_final(eV)
     1.084549        0.813418     267930         -1798498.62206788  -1799347.28843392
     1.084549        0.976099    1674582         -11240748.3493985  -11245960.1516028
     1.084549        1.084549      16746         -112408.701339434  -112460.734117431
     1.084549        1.192995    1674622         -11241018.954534  -11245910.173003
     1.084549        1.355656     267946         -1798606.85579941  -1799326.92513203
     1.538500        1.282100     299582         -2010964.76418683  -2011688.5148148
     1.538500        1.435943    1872422         -12568763.2581869  -12573286.1230813
     1.538500        1.538500       8322         -55862.0120185682  -55882.1975774221
     1.538500        1.641052    1872482         -12569169.1661575  -12573467.5748123
     1.538500        1.794869     299606         -2011127.11620577  -2011762.69501942
     2.004628        1.754083     313714         -2105826.71521087  -2106433.4326203
     2.004628        1.904414    1960762         -13161751.992223  -13165597.394318
     2.004628        2.004628       4902         -32905.0227582187  -32914.7168965095
     2.004628        2.104836    1960842         -13162293.2024868  -13166001.5447305
     2.004628        2.255134     313746         -2106043.18509347  -2106597.78556369
