  ang12(deg)      ang32(deg)   # of atom      E_init(eV)         E_final(eV)
     1.084549        0.813418     267930         -1798498.6220679  -1799179.28903174
     1.084549        0.976099    1674582        -11240748.3493969   -11244927.532187
     1.084549        1.084549      16746         -112408.701339434  -112450.569575886
     1.084549        1.192995    1674622         -11241018.9545369  -11244930.8680174
     1.084549        1.355656     267946         -1798606.8557994  -1799180.74939831
     1.538500        1.282100     299582         -2010964.76418682  -2011541.31950468
     1.538500        1.435943    1872422        -12568763.2581883   -12572374.5215174
     1.538500        1.538500       8322         -55862.0120185683  -55878.226792304
     1.538500        1.641052    1872482         -12569169.1661582  -12572605.5061532
     1.538500        1.794869     299606         -2011127.11620583  -2011635.83418402
     2.004628        1.754083     313714         -2105826.71521088  -2106315.60765351
     2.004628        1.904414    1960762         -13161751.9922246  -13164853.8442996
     2.004628        2.004628       4902         -32905.0227582189  -32912.9025215186
     2.004628        2.104836    1960842         -13162293.2024872  -13165293.9671682
     2.004628        2.255134     313746         -2106043.18509349  -2106494.24980276
